Timestamp color_1_R color_1_G color_1_B color_1_proportion color_2_R color_2_G color_2_B color_2_proportion color_3_R color_3_G color_3_B color_3_proportion
2018-04-06_13-12-18 48.548355 46.784454 34.20103 0.3793001590547603 72.79431 109.36223 116.68976 0.3531140649852306 161.5577 179.71992 175.3982 0.2675857759600091
2017-02-03_09-35-54 50.770115 20.52815 19.767408 0.49421489197530866 83.88404 93.2219 91.500046 0.27405671296296297 182.33508 179.66086 161.72653 0.2317283950617284
2016-06-12_15-46-45 55.98658 45.43215 33.91783 0.5003337391601521 197.17505 88.38174 35.50894 0.3797337562475971 245.465 239.23264 223.6108 0.11993250459225084
2015-02-04_18-02-39 44.14607 33.52435 29.03578 0.5420361328125 118.30897 101.68863 72.47112 0.23701171875 212.46828 180.76334 131.11153 0.2209521484375
2016-02-24_12-00-31 220.11464 199.39404 170.15613 0.719610768175583 154.88356 129.2432 93.17954 0.15921639231824417 48.540104 29.460455 18.071714 0.12117283950617284
2015-06-19_09-36-23 41.722702 37.191692 56.306374 0.35048095703125 238.8552 232.44708 202.09135 0.3488525390625 145.97762 127.12155 114.43518 0.30066650390625
2016-01-27_18-32-06 15.766925 4.032802 6.628847 0.672292854574408 88.98399 40.52344 55.3107 0.2284776801767093 161.07819 99.47474 114.74953 0.09922946524888272
2019-03-20_14-17-04 171.36337 135.91142 117.345665 0.35790123456790124 224.20612 227.79613 221.14261 0.33556327160493826 63.42248 100.43149 108.23284 0.3065354938271605
2016-09-04_18-22-59 66.48508 77.879036 26.54361 0.3860082304526749 203.26212 211.30313 210.83928 0.368383487654321 148.48932 137.16411 74.88271 0.24560828189300413
2019-03-12_13-09-22 18.369095 97.03472 146.84033 0.3772627314814815 6.8571734 43.548805 63.977253 0.358125 32.635204 169.28914 232.11661 0.26461226851851855
2017-07-23_19-19-53 84.490685 51.3258 38.330467 0.373050139275766 215.40573 195.7769 192.81677 0.33548050139275765 42.652237 116.15285 192.18077 0.29146935933147633
2016-03-10_18-15-02 176.82 138.75772 103.627464 0.35711548353909467 245.12358 240.65146 238.46176 0.33557484567901236 49.83677 54.3157 27.065481 0.30730967078189303
2018-07-20_16-06-46 17.948542 12.712597 13.608072 0.7012770061728395 92.55928 63.307697 49.328903 0.1841261574074074 169.48166 138.18056 117.146385 0.11459683641975309
2016-05-30_11-02-20 217.5158 191.90869 163.005 0.6156172839506173 42.253284 30.316189 22.25978 0.20761574074074074 174.82489 140.65385 102.082405 0.17676697530864197
2017-12-04_15-35-10 53.93393 9.641415 11.25824 0.5225883214351089 125.25873 84.11139 60.99506 0.2959271462566356 192.31624 157.10452 130.16925 0.18148453230825554
